,ID,NAME,Filing Type,Status,Standing - AR,Standing - RA,Standing - Other,Formed In,Term of Duration,Initial Filing Date,Principal Address,Mailing Address,AR Due Date,Registered Agent,Owner Name,Owner Address,Nature of Business,Expiration Date,Commercial Registered Agent,Owners,,Delayed Effective Date,Entity Type
0,125881,"X 1 BUILDERS , LLC",,,,,,,,,,,,,,,,,,,,,
1,244002,X ELECTRIC,Trade Name,Active,,,,,Expires - 5 years,05/19/2011,"311 RAILROAD ST W
NORWOOD, MN 55368-9774","311 RAILROAD ST W
NORWOOD, MN 55368-9774",,,,,,,,,,,
2,135654,X INC.,Corporation - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,04/10/2014,"418 GATEWAY DRIVE
GRAND FORKS, ND 58203","PO BOX 95
MENTOR, MN 56736-0095",08/02/2021,"LS DRYWALL INC.
418 GATEWAY DR
GRAND FORKS, ND  58203-2467",,,,,,,,,
3,157286,"X S BROKERS INSURANCE AGENCY, INC.",Corporation - Business - Foreign,Active,Good,Good,Good,MASSACHUSETTS,Perpetual,11/02/2016,"13 TEMPLE ST
QUINCY, MA 02169-5110","13 TEMPLE ST
QUINCY, MA 02169-5110",05/17/2021,,,,,,,,,,
4,173426,X10 INVESTMENTS L.L.C.,Limited Liability Company - Business - Foreign,Active,Good,Good,Good,MINNESOTA,Perpetual,11/28/2018,"48235 275TH AVE
STAPLES, MN 56479-5180","48235 275TH AVE
STAPLES, MN 56479-5180",11/16/2020,"TYLER J HOEMBERG
3506 DOUBLEDAY DR
BISMARCK, ND  58503-8070",,,,,,,,,
5,68357,"X2COMM, INC.",Corporation - Business - Foreign,Active,Good,Good,Good,NEVADA,Perpetual,10/25/2001,"270 S MAIN ST
FLEMINGTON, NJ 08822-1787","270 S MAIN ST
FLEMINGTON, NJ 08822-1787",05/17/2021,,,,,,"NATIONAL REGISTERED AGENTS, INC.
120 W SWEET AVE
BISMARCK, ND  58504-5566",,,,
6,263963,XAGENT,Trade Name,Active,,,,,Expires - 5 years,05/12/2016,"STE 1400
11800 SUNRISE VALLEY DR
RESTON, VA 20191-5300","STE 1400
11800 SUNRISE VALLEY DR
RESTON, VA 20191-5300",,,"K&B UNDERWRITERS, LLC","11800 SUNRISE VALLEY DR
STE 1280
RESTON, VA 20191-5300",ONLINE SUBMISSION ENTRY FOR INSURANCE QUOTING AND BINDING,05/12/2021,,,,,
7,41359,"XANADU PRODUCTS, L.L.C.",Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Expires,12/19/2003,"115 W CENTURY AVE
STE B
BISMARCK, ND 58503-1403","115 W CENTURY AVE
STE B
BISMARCK, ND 58503-1403",11/15/2021,"RICK  PAULSON
115 W CENTURY AVE STE B
BISMARCK, ND  58503-1403",,,,12/19/2053,,,,,
8,84218,"XANADU, LLC",Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,10/16/2006,"4390 46TH AVE S
UNIT A
FARGO, ND 58104-4257","4390 46TH AVE S UNIT A
FARGO, ND 58104-4257",11/16/2020,"MICHELLE  BAKKE
4390 46TH AVE S UNIT A
FARGO, ND  58104-4257",,,,,,,,,
9,265626,XAPIC STUDIOS,Trade Name,Active,,,,,Expires - 5 years,10/14/2016,"607 N 3RD ST # 1
GRAND FORKS, ND 58203-3203","607 N 3RD ST # 1
GRAND FORKS, ND 58203-3203",,,PATRICIA A ROGALLA,"607 N 3RD ST # 1
GRAND FORKS, ND 58203-3203","MAKE & SELL HAND CRAFTED JEWELRY & OTHER CRAFT ITEMS. CANDLE HOLDERS, WINECORK DESIGNS, REFURBISHED JEWELRY.",10/14/2021,,,,,
10,151536,"XCALIBER INTERNATIONAL LTD., L.L.C.",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,OKLAHOMA,Perpetual,02/01/2016,"1 TOBACCO RD
PRYOR, OK 74361-4002","4747 NE 1ST ST
PRYOR, OK 74361-9807",11/16/2020,,,,,,"CORPORATION SERVICE COMPANY
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
11,170568,"XCED AVIATION SERVICES, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,07/31/2018,"425 N MARTINGALE RD FL 8
SCHAUMBURG, IL 60173-2406","425 N MARTINGALE RD
FL 8
SCHAUMBURG, IL 60173-2406",11/15/2021,,,,,,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504",,,,
12,171651,XCEL AG SOLUTIONS LLC,Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,10/04/2018,"1292 56TH ST SE
BRADDOCK, ND 58524-9244","1292 56TH ST SE
BRADDOCK, ND 58524-9244",11/16/2020,"ANTHONY  BAUMGARTNER
1292 56TH ST SE
BRADDOCK, ND  58524-9244",,,,,,,,,
13,165755,XCEL AGRONOMY LLC,Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,12/18/2017,"710 17TH ST NW
JAMESTOWN, ND 58401-2241","710 17TH ST NW
JAMESTOWN, ND 58401-2241",11/16/2020,"CHRISTOPHER  PERLEBERG
710 17TH ST NW
JAMESTOWN, ND  58401-2241",,,,,,,,,
14,278291,Xcel Automation,Trade Name,Active,,,,,Expires - 5 years,04/16/2019,"4854 132ND DR. NW
TANNER COLLETTE
WILLISTON, ND 58801","4854 132ND DR NW
TANNER COLLETTE
WILLISTON, ND 58801-9245",,,Xcel Automation & Electric LLC,"4854 132ND DR. NW
TANNER COLLETTE
WILLISTON, ND 58801",Automation & electrical contracting,04/16/2024,,,,,
15,278153,Xcel Automation & Electric LLC,Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,04/16/2019,"4854 132ND DR. NW
TANNER COLLETTE
WILLISTON, ND 58801","4854 132ND DR NW
TANNER COLLETTE
WILLISTON, ND 58801-9245",11/16/2020,"TANNER  COLLETTE
4854 132ND DR NW
WILLISTON, ND  58801",,,,,,,,,
16,236957,XCEL ENERGY,Trade Name,Active,,,,,Expires - 5 years,01/30/2009,"414 NICOLLET MALL FL 5
MINNEAPOLIS, MN 55401-1927","414 NICOLLET MALL FL 5
MINNEAPOLIS, MN 55401-1927",,,NORTHERN STATES POWER COMPANY,"414 NICOLLET MALL
MINNEAPOLIS, MN 55401-1927","ELECTRICITY & NATURAL GAS UTILITY SERVICES, INCLUDING DISTRIBUTION, TRANSMISSION, TRADING, TRANSPORTATION & MARKETING TO RETAIL & WHOLESALE CUSTOMERS",01/30/2024,,,,,
17,83,XCEL ENERGY INC.,Corporation - Business - Foreign,Active,Good,Good,Good,MINNESOTA,Perpetual,08/18/1910,"414 NICOLLET MALL
MINNEAPOLIS, MN 55401-1927","414 NICOLLET MALL
MINNEAPOLIS, MN 55401-1927",05/17/2021,,,,,,"CORPORATION SERVICE COMPANY
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
18,64528,XCEL ENERGY SERVICES INC.,Corporation - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,04/18/2001,"414 NICOLLET MALL
MINNEAPOLIS, MN 55401-1927","414 NICOLLET MALL
MINNEAPOLIS, MN 55401-1927",05/17/2021,,,,,,"CORPORATION SERVICE COMPANY
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
19,1940,"XCEL ERECTORS, INC.",Corporation - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,11/14/1985,"7401 W 129TH ST
OVERLAND PARK, KS 66213-2694","13320A BALLANTYNE CORPORATE PL
ATTN: LEGAL DEPT.
CHARLOTTE, NC 28277-3607",05/17/2021,,,,,,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504",,,,
20,171445,XCEL NDT LLC,Limited Liability Company - Business - Foreign,Active,Good,Good,Good,KANSAS,Perpetual,09/04/2018,"104 AVON ST
COLE MOREHEAD
CLIFTON, KS 66937-0146","PO BOX 146
Cole Morehead
CLIFTON, KS 66937-0146",11/16/2020,,,,,,"SEARCH COMPANY OF NORTH DAKOTA LLC
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
21,275752,"Xcel Roofing of Siouxland, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,SOUTH DAKOTA,Perpetual,02/27/2019,"4526 S 143RD ST
MANDY TYLER
OMAHA, NE 68137","4526 S 143RD ST
Mandy Tyler
OMAHA, NE 68137-4524",11/15/2021,,,,,,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
22,111653,XCEL TRUCKING LLC,Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,11/09/2011,"717 15TH AVE WEST
WILLISTON, ND 58802","PO BOX 4447
WILLISTON, ND 58802-4447",11/15/2021,"Mark A MIller
717 15TH AVE WEST
WILLISTON, ND  58801",,,,,,,,,
23,180654,XCELL DRIVING SCHOOL LLP,Limited Liability Partnership - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,08/27/2003,"63 PRAIRIEWOOD DR. S.
FARGO, ND 58103","3315 44TH AVE S
FARGO, ND 58104-6643",03/31/2021,"DAVID J KLINKHAMMER
3315 44TH AVE SW
FARGO, ND  58104-6643",,,,,,,,,
24,289935,XCELLENT HEALTH INC.,Corporation - Business - Foreign,Active,Not Good,Good,Good,DELAWARE,Perpetual,12/17/2019,"180 RARITAN CENTER PKWY, SUITE 204
EDISON, NY 08837","180 RARITAN CENTER PKWY
STE 204
EDISON, NJ 08837-3646",05/15/2020,,,,,,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
25,289003,"Xchange Affinity Underwriting Agency, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,11/26/2019,"200 BUSINESS PARK DR
STE 303
ARMONK, NY 10504-1754","200 BUSINESS PARK DR
STE 303
ARMONK, NY 10504-1754",11/15/2021,"3H AGENT SERVICES, INC.
51 N BROADWAY STE 600
PO BOX 1287
FARGO, ND  58107-1287",,,,,,,,,
26,108164,"XCHANGE BENEFITS, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,07/18/2011,"200 BUSINESS PARK DR
STE 303
ARMONK, NY 10504-1751","200 BUSINESS PARK DR
STE 303
ARMONK, NY 10504-1754",11/15/2021,"3H AGENT SERVICES, INC.
51 N BROADWAY STE 600
PO BOX 1287
FARGO, ND  58107-1287",,,,,,,,,
27,279055,"XCL AssetCo, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,05/02/2019,"3217  MONTROSE BLVD
STE 200
HOUSTON, TX 77006","3217  MONTROSE BLVD
STE 200
HOUSTON, TX 77006",11/16/2020,,,,,,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504",,,,
28,302160,"XCL Marketing, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,09/18/2020,"600 N. SHEPHERD
SUITE 390
LAUREN BROWN
HOUSTON, TX 77007","600 N SHEPHERD DR
STE 390
LAUREN BROWN
HOUSTON, TX 77007-1323",11/15/2021,,,,,,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504",,,,
29,278418,"XCL Resources, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,TEXAS,Perpetual,04/18/2019,"3217 MONTROSE BLVD
STE 200
HOUSTON, TX 77006","3217 MONTROSE BLVD
STE 200
HOUSTON, TX 77006",11/16/2020,,,,,,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504",,,,
30,288834,"XCL RoyaltyCo, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,11/20/2019,"3217 MONTROSE BLVD
#200
HOUSTON, TX 77006","3217 MONTROSE BLVD
#200
HOUSTON, TX 77006",11/16/2020,,,,,,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504",,,,
31,279897,Xclusive Apparel,Fictitious Partnership Name,Active,,,,,Expires - 5 years,06/08/2019,"PO BOX 2439
WATFORD CITY, ND 58854-2439",,,,SHOES 'N' SUCH LLP,,,06/08/2024,,,,,
32,280545,"X-Com, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,MINNESOTA,Perpetual,07/19/2019,"13105 GRAND AVE
RICHARD POHLE
BURNSVILLE, MN 55337","PO BOX 16181
RICHARD POHLE
SAINT PAUL, MN 55116-0181",11/16/2020,,,,,,"AAA NORTH DAKOTA REGISTERED AGENT LLC
3003 32ND AVE S STE 240
FARGO, ND  58103",,,,
33,274036,Xe USA,Trade Name,Active,,,,,Expires - 5 years,01/24/2019,"7001 VILLAGE DR 
STE 200
BUENA PARK, CA 90621","7001 VILLAGE DR 
STE 200
BUENA PARK, CA 90621",,,"CONTINENTAL EXCHANGE SOLUTIONS, INC.","7001 VILLAGE DR STE 200
BUENA PARK, CA 90621-2232",Money transmission services,01/24/2024,,,,,
34,170193,XELLIA PHARMACEUTICALS USA LLC,Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,07/16/2018,"8841 WADFORD DRIVE
RALEIGH, NC 27616","8841 WADFORD DR
RALEIGH, NC 27616-9057",11/16/2020,,,,,,"REGISTERED AGENTS INC.
3003 32ND AVE S STE 240
FARGO, ND  58108",,,,
35,282675,"Xencom Energy Management, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,TEXAS,Perpetual,07/31/2019,"1609 PRECISION DRIVE
3000``
JOHN W. LUXEN
PLANO, TX 75074","1609 PRECISION DR
STE 3000
JOHN W. LUXEN
PLANO, TX 75074-8676",11/16/2020,,,,,,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
36,135134,Xenex Disinfection Services Inc.,Corporation - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,03/20/2014,"121 INTERPARK BLVD
STE 104
SAN ANTONIO, TX 78216-1844","121 INTERPARK BLVD
STE 104
SAN ANTONIO, TX 78216-1844",05/17/2021,,,,,,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503",,,,
37,154726,"XENITH, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,06/27/2016,"1201 WOODWARD AVE
DETROIT, MI 48226-2006","1201 WOODWARD AVE
DETROIT, MI 48226-2039",11/16/2020,,,,,,"UNITED AGENT GROUP INC.
1709 N 19TH ST #3
BISMARCK, ND  58501-2121",,,,
38,148120,XERCOR INSURANCE SERVICES LLC,Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,08/17/2015,"8435 KEYSTONE CROSSING
SUITE 240
INDIANAPOLIS, IN 46240-4357","8435 KEYSTONE XING
STE 240
INDIANAPOLIS, IN 46240-4357",11/16/2020,,,,,,"COGENCY GLOBAL INC.
120 W SWEET AVE STE 9
BISMARCK, ND  58504",,,,
39,275237,"Xeris Pharmaceuticals, Inc.",Corporation - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,02/14/2019,"180 N LASALLE STREET
STE 1600
BLAINE ROEDER
CHICAGO, IL 60601","180 N LA SALLE ST
STE 1600
BLAINE ROEDER
CHICAGO, IL 60601-2603",05/17/2021,,,,,,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504",,,,
40,17447,XEROX CORPORATION,Corporation - Business - Foreign,Active,Good,Good,Good,NEW YORK,Perpetual,05/05/1964,"201 MERRITT 7
NORWALK, CT 06851-1056","201 MERRITT 7
NORWALK, CT 06851-1056",05/17/2021,,,,,,"THE PRENTICE-HALL CORPORATION SYSTEM, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501",,,,
41,73374,XEROX FINANCIAL SERVICES LLC,Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,02/04/2003,"201 MERRITT 7, 6TH & 7TH FLOOR
NORWALK, CT 06851","201 MERRITT 7
STE 7
NORWALK, CT 06851-1047",11/15/2021,,,,,,"CORPORATION SERVICE COMPANY
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
42,268198,XEROX GOVERNMENT SYSTEMS,Trade Name,Active,,,,,Expires - 5 years,06/25/2017,"2828 N HASKELL AVE FL 9
DALLAS, TX 75204-2909","2828 N HASKELL AVE FL 9
DALLAS, TX 75204-2909",,,"CONDUENT GOVERNMENT SYSTEMS, LLC","5860 TRINITY PARKWAY
SUITE 120
CENTREVILLE, VA 20120",BUSINESS PROCESS OUTSOURCING,06/25/2022,,,,,
43,268196,XEROX STATE & LOCAL SOLUTIONS,Trade Name,Active,,,,,Expires - 5 years,06/25/2017,"8260 WILOW OAKS CORPORATE DR
STE 600
FAIRFAX, VA 22031","8260 WILOW OAKS CORPORATE DR
STE 600
FAIRFAX, VA 22031",,,"CONDUENT STATE & LOCAL SOLUTIONS, INC.","100 CAMPUS DR
FLORHAM PARK, NJ 07932-1020",BUSINESS PROCESS OUTSOURCING,06/25/2022,,,,,
44,268202,XEROX STATE HEALTHCARE,Trade Name,Active,,,,,Expires - 5 years,06/25/2017,"2828 N HASKELL AVE FL 9
DALLAS, TX 75204-2909","2828 N HASKELL AVE FL 9
DALLAS, TX 75204-2909",,,"CONDUENT STATE HEALTHCARE, LLC","100 CAMPUS DRIVE
FLORHAM PARK, NJ 07932 ",BUSINESS PROCESS OUTSOURCING,06/25/2022,,,,,
45,62403,"XETA TECHNOLOGIES, INC.",Corporation - Business - Foreign,Active,Good,Good,Good,OKLAHOMA,Perpetual,04/06/2000,"4001 N. RODNEY PARHAM
LITTLE ROCK, AR 72212-2459","4001 N RODNEY PARHAM RD
LITTLE ROCK, AR 72212-2459",05/17/2021,,,,,,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
46,288488,X-Factor Energy Services LLC,Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,11/21/2019,"13113 48 T WAY NW
WILLISTON, ND 58801","13113 48T WAY NW
WILLISTON, ND 58801-9224",11/16/2020,"KADEN  ELWESS
13113 48 T WAY NW
WILLISTON, ND  58801",,,,,,,,,
47,282742,XFI Inc,Corporation - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,07/29/2019,"1301 UNIVERSITY AVE
GRAND FORKS, ND 58203","1301 UNIVERSITY AVE
GRAND FORKS, ND 58203-3458",08/02/2021,"CLIFF  COSS
1301 UNIVERSITY AVE
GRAND FORKS, ND  58203",,,,,,,,,
